SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526235,MERCATOR    ,T ,Q,1.45,1.45,1.45,1.45,1.45,1.52,17,26225,38026.00,
526247,PREMIER EXPL,B ,Q,162.40,162.40,159.00,161.50,161.50,163.35,6,81,12969.00,
526251,MID EAST POR,XT,Q,7.26,7.26,7.26,7.26,7.26,7.64,1,2,14.00,
526263,MOLD-TEK TEC,B ,Q,50.85,50.85,48.75,48.80,48.80,49.70,5,118,5792.00,
526299,MPHASIS LTD ,A ,Q,964.00,975.15,956.20,970.85,968.75,974.45,130,836,810846.00,
526325,ORIENT PRESS,B ,Q,115.00,123.85,94.70,111.00,111.00,116.00,6,57,6305.00,
526365,SWARNASA    ,X ,Q,7.23,7.99,7.23,7.26,7.90,7.61,19,7056,51663.00,
526367,GANESH HSG. ,B ,Q,32.80,34.25,31.30,31.95,33.20,31.80,54,2564,81489.00,
526371,NMDC LTD    ,A ,Q,89.95,94.25,86.10,86.25,86.25,90.15,5318,5235675,455183119.00,
526381,PAT INT LOG ,B ,Q,25.25,25.25,24.00,24.00,24.00,25.25,43,3950,94903.00,
526397,ALPHAGEO (I),B ,Q,193.00,195.70,187.60,190.00,190.00,190.40,100,1370,262643.00,
526407,RIT PRO IND ,XT,Q,13.00,13.00,13.00,13.00,13.00,12.49,4,400,5200.00,
526409,KKALPANAIND ,X ,Q,16.53,16.53,14.50,15.00,15.44,15.41,17,1033,15403.00,
526415,OK PLAY (I) ,XT,Q,24.10,24.75,23.15,23.90,23.90,24.10,13,1424,34570.00,
526423,KRITI INDUS.,X ,Q,22.55,22.55,20.00,21.60,22.00,22.90,46,16883,358146.00,
526433,ASM TECHNOLO,X ,Q,90.00,90.00,86.00,90.00,90.00,90.00,4,552,49640.00,
526441,VISIONCINE  ,XT,Q,1.05,1.06,1.05,1.06,1.06,1.01,6,3028,3209.00,
